result,topK,shrink,similarity
0.0314711146339877,791.0,159.0,jaccard
0.03107843530725883,776.0,667.0,cosine
0.035848195194169666,709.0,871.0,tversky
0.04011431291624963,507.0,182.0,dice
0.037594519026881885,816.0,849.0,dice
0.04054763688497241,377.0,936.0,tversky
0.040829713465194296,608.0,77.0,cosine
0.040646986490431865,739.0,121.0,dice
0.04192251453186821,397.0,365.0,dice
0.04089368044825118,637.0,156.0,cosine
0.046177283237121274,89.0,398.0,jaccard
0.048568565676022614,20.0,424.0,jaccard
0.04890176745886629,18.0,448.0,jaccard
0.04947993632064248,12.0,581.0,jaccard
0.044557086223540286,185.0,608.0,jaccard
0.04172457563818528,983.0,599.0,jaccard
0.04417885961332902,227.0,759.0,jaccard
0.044597739784210895,214.0,507.0,jaccard
0.04876402517742395,23.0,307.0,jaccard
0.043798450156855476,363.0,512.0,tversky
0.04507402836585136,168.0,279.0,jaccard
0.04779351366898588,36.0,291.0,jaccard
0.045883013710234795,113.0,314.0,jaccard
0.04439691681326571,257.0,514.0,jaccard
0.044070730684930295,301.0,648.0,jaccard
0.0456249941471164,114.0,18.0,jaccard
0.05022528355819416,10.0,447.0,jaccard
0.04455878411672628,123.0,729.0,cosine
0.0502161597513459,10.0,452.0,tversky
0.04428198070443996,287.0,562.0,tversky
0.04507727476437811,159.0,721.0,tversky
0.04689656787001761,65.0,458.0,tversky
0.04995613014133716,11.0,446.0,tversky
0.04659470854877361,76.0,357.0,tversky
0.04515213591172123,153.0,214.0,tversky
0.04348729199972169,461.0,591.0,tversky
0.046486945286143014,83.0,666.0,tversky
0.04932614264978176,17.0,551.0,tversky
0.04068372698144968,989.0,461.0,dice
0.04070948746591234,864.0,234.0,cosine
0.04295890830930689,580.0,388.0,tversky
0.049738706167486574,13.0,557.0,tversky
0.04676064834324244,65.0,830.0,tversky
0.04538296577234445,140.0,482.0,tversky
0.04571852097115304,65.0,551.0,dice
0.04460920251417315,207.0,640.0,tversky
0.04488948198092584,107.0,377.0,cosine
0.049905475398942,11.0,416.0,tversky
0.047083400780828524,55.0,412.0,tversky
0.04967549504232874,13.0,437.0,tversky
0.04275738076285747,674.0,324.0,tversky
0.04728214792963905,49.0,432.0,tversky
0.0497524710310197,12.0,343.0,tversky
0.046044362615578975,94.0,355.0,tversky
0.05001312383360268,10.0,261.0,tversky
0.043269206928918634,187.0,248.0,dice
0.04516637680965369,138.0,133.0,tversky
0.04715671007832677,47.0,188.0,tversky
0.04427864511914063,250.0,265.0,tversky
0.045176090364036386,89.0,975.0,cosine
0.047195189711412254,49.0,336.0,tversky
0.049747388499809815,12.0,492.0,tversky
0.04575885234460704,110.0,396.0,tversky
0.04945766080932388,14.0,477.0,tversky
0.04731635774598115,45.0,528.0,tversky
0.046014245357269536,94.0,418.0,tversky
0.04531630980809072,136.0,294.0,tversky
0.04158664272001647,525.0,495.0,dice
0.04482142578434034,171.0,326.0,jaccard
0.043754025110534195,351.0,522.0,tversky
0.047541872074950836,39.0,453.0,tversky
0.0488057199936659,20.0,606.0,tversky
0.04959891927928018,13.0,365.0,tversky
0.04643736412952452,74.0,480.0,tversky
0.046456846980022955,73.0,564.0,tversky
0.04748851608817726,39.0,405.0,jaccard
0.045535373703724284,124.0,527.0,tversky
