result,similarity,topK,shrink,asymmetric_alpha,tversky_alpha,tversky_beta
0.03936639154400015,asymmetric,7.0,8.0,0.02957682990130532,,
0.03697098144650879,jaccard,16.0,0.0,,,
0.03841038854721038,dice,5.0,29.0,,,
0.03810986529785511,jaccard,11.0,27.0,,,
0.03694359558526581,cosine,19.0,8.0,,,
0.03657963728990233,tversky,7.0,2.0,,0.9561357844166489,0.6094764622705711
0.03743625180701056,asymmetric,12.0,1.0,0.06501909119444876,,
0.0398198247087414,asymmetric,10.0,15.0,0.05863422497373184,,
0.037071330567571316,jaccard,20.0,5.0,,,
0.038037566171039525,asymmetric,20.0,6.0,0.028574935986127196,,
0.03740305562197197,cosine,15.0,19.0,,,
0.03979807592561514,asymmetric,9.0,14.0,0.022195400831725207,,
0.03985549164705966,asymmetric,10.0,15.0,0.1373022141662663,,
0.03985269513709472,asymmetric,10.0,17.0,0.14955257394554378,,
0.037644072469790124,dice,14.0,21.0,,,
0.038098924257376626,tversky,8.0,20.0,,1.9547791348668808,1.947377998722806
0.03936714745543306,asymmetric,13.0,11.0,0.14970072253587624,,
0.04035572718923625,asymmetric,5.0,23.0,0.1497310578999706,,
0.04036864830287633,asymmetric,5.0,25.0,0.11287550810577562,,
0.037899883589088176,cosine,5.0,25.0,,,
0.038348434419904785,dice,6.0,24.0,,,
0.0402397906508007,asymmetric,7.0,23.0,0.11944137561738163,,
0.04038187721456122,asymmetric,5.0,23.0,0.109996588699564,,
0.040354206105153397,asymmetric,5.0,26.0,0.10509297448761372,,
0.03996160690377431,asymmetric,8.0,30.0,0.09844799623043665,,
0.03743129468466575,tversky,6.0,21.0,,0.030937721235503757,0.18470437018108066
0.04027284721766659,asymmetric,6.0,28.0,0.0885689123290378,,
0.040099904460374355,asymmetric,8.0,23.0,0.12251320735411005,,
0.03924066904999102,asymmetric,17.0,18.0,0.12333316565863016,,
0.04039792209108868,asymmetric,5.0,23.0,0.09023532479361698,,
0.038418543920704686,jaccard,7.0,26.0,,,
0.04039348156172394,asymmetric,5.0,23.0,0.08010789096008006,,
0.040369646668187154,asymmetric,6.0,22.0,0.08459004726992814,,
0.04036629809040655,asymmetric,6.0,22.0,0.07689481604895959,,
0.038113226803838954,dice,8.0,17.0,,,
0.037855900532838604,cosine,6.0,28.0,,,
0.03821183545619849,jaccard,9.0,20.0,,,
0.038036840700604535,tversky,7.0,30.0,,1.8722471526339912,1.6163883399095378
0.04034832817751961,asymmetric,5.0,27.0,0.0837519129160532,,
0.039689595916308974,asymmetric,12.0,22.0,0.057153069886410446,,
0.03913532225349393,asymmetric,17.0,13.0,0.09287519622290254,,
