result,similarity,topK,shrink,tversky_alpha,tversky_beta,asymmetric_alpha
0.02725874946486771,tversky,41.0,24.0,1.0490696185422574,0.5956663450958362,
0.028234284284982352,cosine,9.0,43.0,,,
0.02794233928331889,jaccard,37.0,5.0,,,
0.027937652200840806,dice,22.0,3.0,,,
0.027054157594004064,asymmetric,70.0,0.0,,,0.033574713439775715
0.027551374131738637,asymmetric,64.0,30.0,,,0.10356718486038888
0.026968633140962393,cosine,62.0,47.0,,,
0.0267785994445081,asymmetric,64.0,46.0,,,0.0020467161490351046
0.026655255876561368,cosine,60.0,1.0,,,
0.027016364435876943,tversky,73.0,23.0,0.5661589066859287,0.46454302327905306,
0.028502427926618612,cosine,7.0,36.0,,,
0.028567698922842954,cosine,5.0,34.0,,,
0.02849257617535894,cosine,5.0,36.0,,,
0.02826946723431454,cosine,21.0,16.0,,,
0.02870517487175896,jaccard,19.0,36.0,,,
0.028567919244959588,jaccard,22.0,38.0,,,
0.028358887334879658,jaccard,28.0,41.0,,,
0.0278255577411609,jaccard,49.0,50.0,,,
0.028354047110665453,jaccard,31.0,17.0,,,
0.02884895977496917,jaccard,17.0,29.0,,,
0.0276604563237443,dice,48.0,30.0,,,
0.02875496678233248,jaccard,16.0,39.0,,,
0.029046122316842837,jaccard,13.0,29.0,,,
0.028906129073999115,jaccard,15.0,30.0,,,
0.029046122316842837,jaccard,13.0,29.0,,,
0.029006131541644477,jaccard,14.0,18.0,,,
0.028356553867566213,jaccard,31.0,18.0,,,
0.02894674462506311,jaccard,13.0,10.0,,,
0.0281323069256581,dice,27.0,21.0,,,
0.029293838052656045,tversky,12.0,26.0,1.815244291704603,1.956553645005748,
0.02828374576935618,tversky,40.0,26.0,1.988110390184099,1.9683994250126706,
0.028859398108296085,tversky,12.0,12.0,1.9655007628712315,1.872600659245062,
0.029250564863291993,tversky,10.0,27.0,1.3070233154865663,1.2785424371776632,
0.029286142450277285,tversky,10.0,26.0,1.367425888341859,1.35484269932913,
0.029448512559073832,tversky,8.0,25.0,1.2998325814754637,1.3603642784934196,
0.029366815425631215,tversky,9.0,25.0,1.3010478049785037,1.3121906320047536,
0.029228022509935538,tversky,9.0,21.0,1.3891935347952846,1.321802671949434,
0.028576682264120735,tversky,25.0,24.0,1.4855888461663507,1.4293051972473596,
0.028358916403712093,tversky,35.0,33.0,1.5429719044674257,1.5039687109309856,
0.029277247787542326,tversky,8.0,21.0,1.048032799809977,1.0064251249019027,
0.02779626806058051,tversky,18.0,24.0,1.6592277305351826,0.9104248746219519,
0.029404954981951066,tversky,9.0,20.0,0.9979356156326036,1.0363356989521597,
0.030054071643618112,tversky,5.0,13.0,0.675360665359654,1.0578935749434597,
0.03039681743699531,tversky,5.0,13.0,0.45611792337968154,0.9667504767113941,
0.03022494955006198,tversky,5.0,8.0,0.46963947213763363,0.9370689467388909,
0.030424161878390654,asymmetric,5.0,7.0,,,0.1459122411174812
0.03015265283127075,asymmetric,5.0,5.0,,,0.14909321787646207
0.03020225506538124,asymmetric,6.0,5.0,,,0.14817173757411603
0.030154115066336362,asymmetric,5.0,5.0,,,0.14880145874708858
