result,topK,alpha,beta
0.04835806230888804,194.0,0.5552078548529443,0.37767419387555407
0.036230258567758813,202.0,1.479909029333969,0.653164055020753
0.031898897101115445,265.0,0.4603996212766259,0.8637429809389521
0.04625603606448062,299.0,0.747410829632483,0.29485775016419963
0.04684008115514306,180.0,0.8314938643014881,0.23323158712903713
0.03653388711820818,240.0,1.2548897052434578,0.6988192030762578
0.04695173371461815,211.0,0.9188473621460452,0.3943118101837231
0.044090463635885965,159.0,1.4232101994098463,0.18676691184107172
0.045343266444912114,100.0,1.379119136615965,0.3688939542407932
0.029556150440023476,49.0,0.889468326932003,0.9670448702724158
0.04839755048385124,102.0,0.32205971053630855,0.5157822597169677
0.0488217987531306,103.0,0.32204343924293244,0.4925448978200976
0.048444024756588086,86.0,0.30897452535728537,0.5263211300640906
0.04809640180330052,5.0,0.3047130012363364,0.5615591424713252
0.048475011234328305,107.0,0.5793376351350019,0.5078991426333673
0.039209922527134324,129.0,0.6238970617282331,0.7412330117294408
0.04788197183688175,56.0,1.0572208688159899,0.45080159837651496
0.04362569710268741,143.0,0.49252636657280807,0.6504886560020942
0.037009631328994486,56.0,0.6468444538165565,0.8180395912847747
0.054877525259747706,16.0,0.407976373301422,0.11931436991116279
0.05485618995444563,14.0,0.4323464458030152,0.1029046323651423
0.05246387486140097,6.0,0.43568225989006626,0.11556327146207707
0.05089447026200431,5.0,0.4262464197158022,0.10464948977963112
0.05297526531510414,29.0,0.7500731010746653,0.10263452164211267
0.053208140229484294,31.0,0.7224969603176781,0.19926684026950608
0.05072561785656134,39.0,1.0393562514084334,0.24044275767699996
0.05042181212684094,75.0,0.6879392495214994,0.19075880432028003
0.05371019610268905,30.0,0.5270391691180607,0.29886606974322083
0.05110668365642357,75.0,0.5193074520223672,0.3116788044692107
0.05403581143585399,25.0,0.5515767655009726,0.30017699720198643
0.054829946512400474,19.0,0.38933046136303784,0.15984503292238167
0.05492762162195084,17.0,0.4186185676486085,0.15545506915727927
0.0520463141836711,55.0,0.40564456405452115,0.16097227020974575
0.055050136852613105,15.0,0.3920675283371442,0.1504326590870335
0.05133767827773961,71.0,0.46866756133880405,0.24509897109450443
0.052584395518407975,47.0,0.372685744102472,0.1569210492394868
0.054348368930360026,18.0,0.47991843071210005,0.3475069292425551
0.046000901612276456,266.0,0.594204259740976,0.23282707313433237
0.05054479187892223,66.0,0.8052358422295397,0.2647633223578827
0.052436622704440196,38.0,0.3817916161359139,0.4178580903605721
0.043963363664104006,200.0,1.1948272181910418,0.140597102800259
0.05485954931876005,20.0,0.3950202460827369,0.18886329571812532
0.05517828622068708,14.0,0.3683550822991944,0.19877125816137325
0.053093899721603555,42.0,0.3458345042641741,0.20618334535820654
0.04860333647204216,172.0,0.47985234319199555,0.33206548631237964
0.05479542834238436,21.0,0.36065998489487133,0.2626669215664356
0.050211217468312495,88.0,0.5537485980221064,0.20267762866080602
0.054504981530634565,14.0,0.6518174290977041,0.15243269484289587
0.04933796463287162,125.0,0.3036752704880227,0.3669624739032282
0.05189236097675898,61.0,0.43674121799199395,0.22109078010635388
0.0319508016659187,42.0,0.5989447964917385,0.9610477644674479
0.04466999079119864,222.0,0.409909106992317,0.1046033166297758
0.055061451481260036,13.0,0.35816866995991065,0.1360390889055737
0.053713687421747536,33.0,0.35584992381821534,0.17499279550841468
0.05482115799516437,13.0,0.5072733085308712,0.2662068951083523
0.04857255798864963,8.0,1.4991327472810676,0.1346055785558721
0.052261836717366804,49.0,0.3463839916634392,0.1343097607656653
0.05449593656738093,24.0,0.4576748056722534,0.18538960654742317
0.04726472496585377,6.0,0.30049347395264175,0.63719872636567
0.05032117966103996,90.0,0.40949831361786737,0.2150964806781407
0.045259549888561026,33.0,0.9909270285768919,0.5966709487489148
0.05464368161537618,19.0,0.4662621497003061,0.12492805257225732
0.054996436589282605,17.0,0.4328498843770064,0.18056448935686142
0.05447642082473442,25.0,0.3450264104952252,0.18350279170990652
0.05259601437142551,48.0,0.5274755179531527,0.2615777407296832
0.038533983633923394,298.0,0.39438006514735313,0.7324164991591868
0.05058820596873961,13.0,1.3396377029387387,0.1557301520456467
0.053728499880959936,33.0,0.4464554427677337,0.28354517273013236
0.051798249314694365,61.0,0.5052905902107107,0.22662032468689117
