result,topK,alpha,beta
0.032643711106205016,97.0,0.4351994863080879,0.916718686530137
0.03356469719975766,39.0,0.8162417566749208,0.9312235631330348
0.044144190485107565,91.0,0.15790521145800307,0.3814487860926379
0.050234708370399464,46.0,0.5468299603330776,0.3061327537400548
0.04412869316851452,67.0,0.9979819709384284,0.21106313520312447
0.045745831075791464,49.0,0.9102466596023475,0.3871169147539274
0.050704245513345944,21.0,0.5896523403518685,0.22521857794141587
0.04938554549974492,62.0,0.5404760177203254,0.41519008910679456
0.04967150393424966,52.0,0.5622501554781016,0.1695483450940808
0.045908489911859605,86.0,0.8105379752720725,0.4996561240583557
0.04332006457122186,10.0,0.032952904128198846,0.008259093307131038
0.04615459412214415,20.0,0.43733249316584155,0.683316233147201
0.04988926124366317,28.0,0.6750455606745427,0.22139573618276254
0.04728962178119212,5.0,0.2869057727652382,0.05632850755370322
0.045869407153223844,33.0,0.6392051706050395,0.636947232738402
0.050875522021327314,20.0,0.3266065961536102,0.2687217856251941
0.04744078555709223,20.0,0.2890417382050357,0.5936492859884241
0.05002269245947961,19.0,0.3258587143523298,0.11279550237418423
0.04914304554991258,67.0,0.3821296500215999,0.28795203595535407
0.039848730314805694,31.0,0.17271867084752546,0.738627116956211
0.047837788212628705,14.0,0.707829833999911,0.5171102437314034
0.05039680978913823,42.0,0.5086683352275194,0.2972181516902495
0.05037762459949388,41.0,0.4381323195445059,0.2982756169210643
0.05025237738490804,27.0,0.6126024368166811,0.11274197617144074
0.04976908095260228,58.0,0.4909641288745034,0.26471892477062947
0.04690568498785776,38.0,0.19448449104823073,0.462815563996825
0.04774701948953784,79.0,0.7292521090730223,0.14879872566532176
0.0506478549466311,24.0,0.36045466064818754,0.35940193562179296
0.04657611868083673,6.0,0.22703443147648453,0.5544819731221341
0.035072632592859046,15.0,0.06180775466257038,0.821169370811513
0.05059963611796573,26.0,0.3634184406908666,0.3647871601390261
0.050639356562026394,24.0,0.35706016036298927,0.36152743653946806
0.0504464723286871,22.0,0.412188555752682,0.44203407485030877
0.04895478899524244,35.0,0.25606399531564106,0.3424308736844363
0.047046653600802936,13.0,0.08860739536778484,0.22577929094122287
0.041918413055158345,99.0,0.11921927454584003,0.1794353782499103
0.03284076482116853,25.0,0.3388893638156609,0.9988188016354613
0.05086316742363781,32.0,0.49788496072899824,0.3480414227034168
0.05085340035719113,33.0,0.4813532332856181,0.25066248994964235
0.0499813822611949,46.0,0.5794753395089863,0.23414831153407845
0.04985771142281721,35.0,0.4867176132598362,0.08397704876254042
0.05049255513414617,30.0,0.4560625198097905,0.40952413448296254
0.05101035235464066,16.0,0.5425382756999916,0.3274697806062692
0.048819594110996206,16.0,0.7649014901112307,0.25613737185329427
